Keyword,Data Type,Description,Default,Example
cfa,str,Color-filter array pattern that is used to split data from a Bayer image into separate color planes,None,imshow.html#split-color-planes
cmap,bool,Name of a color map to apply to the plot,gray,imshow.html#color-maps
imshow_interp|interp,str,imshow interpolation scheme [see matplotlib docs for more details],'none’,None
stretch,float|list,Calculate "stretch" times the standard deviation above and below the mean to set new z-limits. Can be a single value used as +/- limits or a two-value list for the lower/upper multiplier values,None,imshow.html#contrast-stretching
